file_name, test_role_F1, test_role_P, test_role_R, test_trigger_F1, test_trigger_P, test_trigger_R,
fslw_fine_--is_knowledge_len5_shot2_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_fine_--is_knowledge_len5_shot5_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_fine__len5_shot10_wikievents_2021-11-05-02-14, 0.0, 0.0, 0.0, 1.7391, 31.25, 0.8945, 
fslw_fine__len5_shot15_wikievents_2021-11-05-02-14, 0.0, 0.0, 0.0, 1.7575, 31.25, 0.9042, 
fslw_fine__len5_shot1_wikievents_2021-11-05-02-14, 0.2339, 0.6024, 0.1451, 3.0429, 8.6614, 1.8456, 
fslw_fine__len5_shot2_wikievents_2021-11-05-02-14, 0.4908, 1.7391, 0.2857, 3.3241, 9.6774, 2.0067, 
fslw_fine__len5_shot5_wikievents_2021-11-05-02-14, 0.5063, 1.6529, 0.299, 1.7621, 5.1724, 1.0619, 
fslw_prefix_--is_knowledge_len5_shot10_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_prefix_--is_knowledge_len5_shot10_wikievents_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_prefix_--is_knowledge_len5_shot15_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_prefix_--is_knowledge_len5_shot15_wikievents_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_prefix_--is_knowledge_len5_shot1_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_prefix_--is_knowledge_len5_shot1_wikievents_2021-11-05-02-10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_prefix_--is_knowledge_len5_shot1_wikievents_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
